TyreLife,CompoundEnc,RaceLapPct,Stint,FuelLoad,IsWarmup,TrackTemp,AirTemp,CircuitThrottlePct,CircuitBrakePct,CircuitAvgSpeed,Driver,Team,LapTimeSec,Compound,Circuit,Year,LapNumber,TyreLife
5.0,0,0.030303030303030304,1.0,107.0,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,STR,Aston Martin,91.063,SOFT,Spanish Grand Prix,2022,2.0,5.0
2.0,0,0.030303030303030304,1.0,107.0,1,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,ALO,Alpine,90.932,SOFT,Spanish Grand Prix,2022,2.0,2.0
2.0,0,0.030303030303030304,1.0,107.0,1,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,ALB,Williams,91.252,SOFT,Spanish Grand Prix,2022,2.0,2.0
2.0,0,0.030303030303030304,1.0,107.0,1,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,ZHO,Alfa Romeo,91.212,SOFT,Spanish Grand Prix,2022,2.0,2.0
2.0,0,0.030303030303030304,1.0,107.0,1,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,LAT,Williams,91.197,SOFT,Spanish Grand Prix,2022,2.0,2.0
3.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,LEC,Ferrari,87.198,SOFT,Spanish Grand Prix,2022,3.0,3.0
6.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,VER,Red Bull Racing,87.574,SOFT,Spanish Grand Prix,2022,3.0,6.0
6.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,RUS,Mercedes,87.9,SOFT,Spanish Grand Prix,2022,3.0,6.0
6.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,PER,Red Bull Racing,87.942,SOFT,Spanish Grand Prix,2022,3.0,6.0
6.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,SAI,Ferrari,88.145,SOFT,Spanish Grand Prix,2022,3.0,6.0
5.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,MSC,Haas F1 Team,89.329,SOFT,Spanish Grand Prix,2022,3.0,5.0
6.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,BOT,Alfa Romeo,88.709,SOFT,Spanish Grand Prix,2022,3.0,6.0
6.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,RIC,McLaren,89.28,SOFT,Spanish Grand Prix,2022,3.0,6.0
3.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,OCO,Alpine,89.434,SOFT,Spanish Grand Prix,2022,3.0,3.0
3.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,NOR,McLaren,89.87,SOFT,Spanish Grand Prix,2022,3.0,3.0
3.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,TSU,AlphaTauri,89.864,SOFT,Spanish Grand Prix,2022,3.0,3.0
3.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,GAS,AlphaTauri,89.831,SOFT,Spanish Grand Prix,2022,3.0,3.0
6.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,VET,Aston Martin,90.09,SOFT,Spanish Grand Prix,2022,3.0,6.0
6.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,STR,Aston Martin,90.49,SOFT,Spanish Grand Prix,2022,3.0,6.0
3.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,ALO,Alpine,90.573,SOFT,Spanish Grand Prix,2022,3.0,3.0
3.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,ALB,Williams,91.561,SOFT,Spanish Grand Prix,2022,3.0,3.0
3.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,ZHO,Alfa Romeo,90.169,SOFT,Spanish Grand Prix,2022,3.0,3.0
3.0,0,0.045454545454545456,1.0,105.5,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,LAT,Williams,91.102,SOFT,Spanish Grand Prix,2022,3.0,3.0
