TyreLife,CompoundEnc,RaceLapPct,Stint,FuelLoad,IsWarmup,TrackTemp,AirTemp,CircuitThrottlePct,CircuitBrakePct,CircuitAvgSpeed,Driver,Team,LapTimeSec,Compound,Circuit,Year,LapNumber,TyreLife
4.0,2,0.40625,3.0,71.0,0,27.9,22.3,37.45257679290948,30.26461759775092,153.290093365853,NOR,McLaren,93.488,HARD,Monaco Grand Prix,2022,26.0,4.0
4.0,2,0.40625,3.0,71.0,0,27.9,22.3,37.45257679290948,30.26461759775092,153.290093365853,HAM,Mercedes,96.12,HARD,Monaco Grand Prix,2022,26.0,4.0
3.0,1,0.390625,3.0,72.5,0,27.9,22.3,37.45257679290948,30.26461759775092,153.290093365853,ALB,Williams,101.078,MEDIUM,Monaco Grand Prix,2022,25.0,3.0
4.0,2,0.40625,3.0,71.0,0,27.9,22.3,37.45257679290948,30.26461759775092,153.290093365853,VET,Aston Martin,111.989,HARD,Monaco Grand Prix,2022,26.0,4.0
5.0,2,0.421875,3.0,69.5,0,27.9,22.3,37.45257679290948,30.26461759775092,153.290093365853,PER,Red Bull Racing,117.255,HARD,Monaco Grand Prix,2022,27.0,5.0
3.0,2,0.40625,4.0,71.0,0,27.9,22.3,37.45257679290948,30.26461759775092,153.290093365853,STR,Aston Martin,121.694,HARD,Monaco Grand Prix,2022,26.0,3.0
5.0,2,0.421875,3.0,69.5,0,27.9,22.3,37.45257679290948,30.26461759775092,153.290093365853,VER,Red Bull Racing,120.175,HARD,Monaco Grand Prix,2022,27.0,5.0
6.0,2,0.421875,3.0,69.5,0,27.9,22.3,37.45257679290948,30.26461759775092,153.290093365853,LEC,Ferrari,122.476,HARD,Monaco Grand Prix,2022,27.0,6.0
5.0,2,0.421875,3.0,69.5,0,27.9,22.3,37.45257679290948,30.26461759775092,153.290093365853,NOR,McLaren,114.811,HARD,Monaco Grand Prix,2022,27.0,5.0
5.0,2,0.421875,3.0,69.5,0,27.9,22.2,37.45257679290948,30.26461759775092,153.290093365853,HAM,Mercedes,116.347,HARD,Monaco Grand Prix,2022,27.0,5.0
4.0,1,0.40625,3.0,71.0,0,27.9,22.2,37.45257679290948,30.26461759775092,153.290093365853,ALB,Williams,116.315,MEDIUM,Monaco Grand Prix,2022,26.0,4.0
5.0,2,0.421875,3.0,69.5,0,27.9,22.2,37.45257679290948,30.26461759775092,153.290093365853,VET,Aston Martin,114.774,HARD,Monaco Grand Prix,2022,27.0,5.0
6.0,2,0.4375,3.0,68.0,0,28.0,22.3,37.45257679290948,30.26461759775092,153.290093365853,PER,Red Bull Racing,128.097,HARD,Monaco Grand Prix,2022,28.0,6.0
6.0,2,0.4375,3.0,68.0,0,28.0,22.3,37.45257679290948,30.26461759775092,153.290093365853,VER,Red Bull Racing,126.222,HARD,Monaco Grand Prix,2022,28.0,6.0
4.0,2,0.421875,4.0,69.5,0,28.0,22.3,37.45257679290948,30.26461759775092,153.290093365853,STR,Aston Martin,126.196,HARD,Monaco Grand Prix,2022,27.0,4.0
7.0,2,0.4375,3.0,68.0,0,28.0,22.3,37.45257679290948,30.26461759775092,153.290093365853,LEC,Ferrari,126.941,HARD,Monaco Grand Prix,2022,28.0,7.0
6.0,2,0.4375,3.0,68.0,0,28.0,22.3,37.45257679290948,30.26461759775092,153.290093365853,NOR,McLaren,120.766,HARD,Monaco Grand Prix,2022,28.0,6.0
6.0,2,0.4375,3.0,68.0,0,28.0,22.3,37.45257679290948,30.26461759775092,153.290093365853,HAM,Mercedes,114.807,HARD,Monaco Grand Prix,2022,28.0,6.0
5.0,1,0.421875,3.0,69.5,0,28.3,22.4,37.45257679290948,30.26461759775092,153.290093365853,ALB,Williams,111.993,MEDIUM,Monaco Grand Prix,2022,27.0,5.0
6.0,2,0.4375,3.0,68.0,0,28.3,22.4,37.45257679290948,30.26461759775092,153.290093365853,VET,Aston Martin,115.582,HARD,Monaco Grand Prix,2022,28.0,6.0
7.0,2,0.453125,3.0,66.5,0,28.7,22.3,37.45257679290948,30.26461759775092,153.290093365853,PER,Red Bull Racing,119.039,HARD,Monaco Grand Prix,2022,29.0,7.0
7.0,2,0.453125,3.0,66.5,0,28.7,22.3,37.45257679290948,30.26461759775092,153.290093365853,VER,Red Bull Racing,118.806,HARD,Monaco Grand Prix,2022,29.0,7.0
5.0,2,0.4375,4.0,68.0,0,28.7,22.3,37.45257679290948,30.26461759775092,153.290093365853,STR,Aston Martin,118.927,HARD,Monaco Grand Prix,2022,28.0,5.0
8.0,2,0.453125,3.0,66.5,0,28.7,22.3,37.45257679290948,30.26461759775092,153.290093365853,LEC,Ferrari,117.746,HARD,Monaco Grand Prix,2022,29.0,8.0
7.0,2,0.453125,3.0,66.5,0,28.7,22.3,37.45257679290948,30.26461759775092,153.290093365853,NOR,McLaren,116.777,HARD,Monaco Grand Prix,2022,29.0,7.0
7.0,2,0.453125,3.0,66.5,0,28.7,22.3,37.45257679290948,30.26461759775092,153.290093365853,HAM,Mercedes,105.367,HARD,Monaco Grand Prix,2022,29.0,7.0
6.0,1,0.4375,3.0,68.0,0,28.7,22.4,37.45257679290948,30.26461759775092,153.290093365853,ALB,Williams,98.218,MEDIUM,Monaco Grand Prix,2022,28.0,6.0
